20000	0.000000069	0.000000091	0.000220060	0.000000188	0.000000081	0.000000062	0.000208535	0.000000310
40000	0.000000120	0.000000092	0.000799894	0.000000224	0.000000068	0.000000070	0.000758304	0.000000253
60000	0.000000123	0.000000101	0.001652956	0.000000222	0.000000051	0.000000120	0.001619040	0.000000224
80000	0.000000101	0.000000101	0.002143145	0.000000243	0.000000060	0.000000094	0.002243180	0.000000245
100000	0.000000123	0.000000101	0.002767801	0.000000253	0.000000072	0.000000072	0.002899281	0.000000241
120000	0.000000140	0.000000092	0.003484011	0.000000248	0.000000072	0.000000079	0.003566390	0.000000272
140000	0.000000111	0.000000099	0.004076004	0.000000231	0.000000110	0.000000091	0.004266790	0.000000272
160000	0.000000161	0.000000101	0.005038977	0.000000243	0.000000101	0.000000080	0.004898012	0.000000253
180000	0.000000140	0.000000111	0.005233765	0.000000291	0.000000089	0.000000072	0.005492255	0.000000243
200000	0.000000111	0.000000113	0.005901098	0.000000275	0.000000120	0.000000072	0.006138061	0.000000284
Height: 33
